,Year,"Charges for the use of intellectual property, payments (BoP, current US$)","Charges for the use of intellectual property, receipts (BoP, current US$)","Communications, computer, etc. (% of service exports, BoP)","Communications, computer, etc. (% of service imports, BoP)",Current account balance (% of GDP),"Exports of goods and services (BoP, current US$)","Goods exports (BoP, current US$)","Goods imports (BoP, current US$)",Gross national expenditure (% of GDP),Gross savings (% of GDP),"Imports of goods and services (BoP, current US$)","Insurance and financial services (% of service exports, BoP)","Insurance and financial services (% of service imports, BoP)",Merchandise trade (% of GDP),"Net financial account (BoP, current US$)","Net incurrence of liabilities, total (current LCU)",Net lending (+) / net borrowing (-) (% of GDP),"Net primary income (BoP, current US$)","Net secondary income (BoP, current US$)","Net trade in goods and services (BoP, current US$)","Primary income payments (BoP, current US$)","Reserves and related items (BoP, current US$)","Service exports (BoP, current US$)","Service imports (BoP, current US$)",Statistical performance indicators (SPI): Pillar 1 data use score (scale 0-100),Trade in services (% of GDP),"Transport services (% of service exports, BoP)","Transport services (% of service imports, BoP)","Travel services (% of service exports, BoP)","Travel services (% of service imports, BoP)"
0,2007,9810419779.25,874658975.67,32.58,41.24,27.14,385006740310.6,311490399342.67,253354573513.62,68.97,49.97,328425686831.57,15.7,5.02,310.85,47856028292.72,32955000000.0,11.11,-4759731980.04,-2707713812.72,56581053479.03,64060973546.35,19448826432.01,73516340967.93,75071113317.95,40.0,82.12,39.39,35.76,12.33,17.99
1,2008,13604164838.36,1213617593.72,33.58,44.55,15.08,443371662584.01,354207416159.3,312810694573.61,80.22,44.36,403368717653.62,14.0,4.77,339.82,26291914458.02,20422000000.0,7.63,-7122184572.92,-3676616015.83,40002944930.39,56625286468.1,13092055546.2,89164246424.71,90558023080.01,40.0,92.82,40.51,32.63,11.9,18.04
2,2009,13438021506.01,1430580234.61,36.68,47.26,16.39,370526055886.96,289514843754.61,241627394176.79,76.4,43.86,324906441738.73,15.13,4.36,265.58,34185559995.09,36283000000.0,1.57,-10070506585.23,-3721928661.14,45619614148.23,59113049325.38,11327729818.01,81011212132.34,83279047561.94,40.0,84.62,36.8,29.52,11.39,18.86
3,2010,17029305529.24,1933394857.63,32.85,47.08,22.93,474817193392.05,374434748595.84,311199858208.91,73.69,50.59,411718055750.79,14.59,4.91,276.33,59442100952.81,31330700000.0,7.46,-2591036602.88,-5512104192.0,63099137641.26,66109973658.64,42353145435.03,100382444796.21,100518197541.88,60.0,83.78,38.43,29.41,14.12,18.6
4,2011,20346152652.5,2659774337.11,34.51,48.75,22.22,568009224023.61,448740757582.05,373188744124.71,72.54,48.81,491027544095.0,14.77,4.88,277.52,62138335944.58,36461000000.0,9.08,-9599086943.01,-5313903789.37,76981679928.61,75355873584.99,17242392460.11,119268466441.56,117838799970.29,60.0,84.88,35.68,28.2,15.03,18.18
5,2012,23105585202.33,2812408517.97,36.23,51.26,17.64,580505492422.74,451056600365.3,376103424716.76,75.43,47.25,509015533875.7,14.89,4.53,267.07,50422501295.34,29456700000.0,8.46,-13122119114.86,-6303792915.84,71489958547.04,77957473873.05,26222734734.79,129448892057.45,132912109158.94,60.0,88.91,34.36,26.8,14.52,17.41
6,2013,22992008311.36,3414448973.07,38.59,52.64,15.71,600013186286.26,457985455126.67,379207703987.85,77.06,45.52,528920562614.88,15.33,4.75,254.66,50280028770.08,-14898700000.0,8.06,-16566690641.73,-6214337089.43,71092623671.38,84225685287.3,18097184800.07,142027731159.59,149712858627.03,60.0,94.85,32.54,26.31,13.54,16.3
7,2014,20877550215.07,3909474764.22,38.87,52.98,17.95,604391776173.0,450614735014.4,363919813740.58,76.65,47.3,530588532417.82,15.86,4.31,251.95,54091945858.49,14651700000.0,7.1,-10952922141.98,-6331636478.43,73803243755.18,82086421214.63,6823824595.37,153777041158.6,166668718677.24,60.0,101.77,32.81,27.38,12.46,15.33
8,2015,19400287309.29,8651355627.08,42.49,51.1,18.69,549421999163.53,396222355572.53,303652101176.51,72.7,44.05,465345116651.21,16.23,4.76,210.61,53501645663.99,40114800000.0,4.2,-21015620169.84,-5487025621.44,84076882512.32,92693615551.07,1052610021.27,153199643591.0,161693015474.7,80.0,102.24,30.43,29.51,10.85,14.63
9,2016,15666647583.97,7045872839.46,42.96,51.77,17.77,525353053001.88,373189430026.04,283306887341.66,73.16,44.85,441743263971.01,17.29,5.66,192.4,56904713492.98,43201323953.57,5.04,-19475857421.95,-7434495338.23,83609789030.87,97755315025.78,-1758543365.68,152163622975.84,158436376629.35,100.0,97.36,27.28,27.46,12.47,15.11
10,2017,15810634176.37,8006951861.98,41.57,52.88,18.14,588934808190.16,417134312145.84,316205514419.68,72.67,46.1,497446856273.87,18.54,5.29,204.32,60399514817.97,37527700000.0,7.57,-23885004616.47,-5340767963.5,91487951916.29,125185002806.09,27443404087.12,171800496044.32,181241341854.19,100.0,102.85,28.3,28.12,11.59,13.71
11,2018,17249096446.95,8780422708.37,41.76,49.69,15.72,668379856790.7,460886044198.42,356448730701.03,69.23,41.75,557190082848.86,18.63,5.72,207.99,58919146675.23,44821993366.83,4.78,-46209649019.84,-5749303414.66,111189773941.84,154724757662.44,12556027170.62,207493812592.28,200741352147.83,100.0,108.32,29.76,31.39,9.84,13.2
12,2019,15161436539.01,8692612661.04,43.3,49.43,16.15,661705667108.54,441913805215.67,344086158131.69,70.16,41.1,550593711629.27,18.24,6.15,199.03,63560070617.41,94168574613.95,7.42,-43087593693.3,-7147557407.19,111111955479.26,154648470668.73,-8352055469.78,219791861892.86,206507553497.58,100.0,113.13,29.22,31.32,9.24,13.1
13,2020,14882786028.79,8777730130.64,47.41,54.15,16.45,634034052268.24,419941003448.71,313525502962.51,67.05,40.82,525323919332.72,19.71,7.72,198.73,57354794677.75,73633018214.39,-7.39,-47231957673.24,-4162663300.5,108710132935.51,155238480633.45,74830907977.02,214093048819.52,211798416370.21,100.0,122.24,30.38,34.78,2.5,3.35
14,2021,16325100174.92,11080226773.69,46.59,54.75,18.02,781068118944.54,514536416529.17,388788894540.31,63.34,42.5,631615129824.22,17.28,7.18,203.77,74674763363.89,69801338767.2,1.72,-69391035740.43,-3687727176.87,149452989120.32,215606470741.48,66255512007.18,266531702415.36,242826235283.9,100.0,120.19,34.6,36.36,1.54,1.7
